en	ko	note
Embedding	임베딩	2025 AI 핵심용어
Embodied AI	체화 인공지능	2025 AI 핵심용어
Encoder-Decoder Architecture	인코더-디코더 구조	2025 AI 핵심용어
EU AI Act	EU AI법	2025 AI 핵심용어
Explainable AI	설명가능한 AI	2025 AI 핵심용어
F1-score	F1 점수	2025 AI 핵심용어
Fabless	팹리스	2025 AI 핵심용어
Fair Use	공정 이용	2025 AI 핵심용어
federated learning	연합학습	2025 AI 핵심용어
Few-shot	퓨샷	2025 AI 핵심용어
Fin Field-Effect Transistor	핀펫	2025 AI 핵심용어
Fine-Tuning	미세조정	2025 AI 핵심용어
Floating point Operations Per Second	부동 소수점 연산	2025 AI 핵심용어
Foundation Model	파운데이션 모델	2025 AI 핵심용어
Frontier AI	프론티어 AI	2025 AI 핵심용어
Gate-All-Around	GAA	2025 AI 핵심용어
General Purpose AI	범용 AI	2025 AI 핵심용어
General-Purpose AI Agent	범용 AI 에이전트	2025 AI 핵심용어
Generative Adversarial Networks	생성적 적대 신경망	2025 AI 핵심용어
Generative AI	생성형 AI	2025 AI 핵심용어
Graphics Processing Unit	그래픽 처리 장치	2025 AI 핵심용어
Hallucination	환각	2025 AI 핵심용어
High Bandwidth Memory	고대역폭 메모리	2025 AI 핵심용어
Human-in-the-Loop	휴먼 인 더 루프	2025 AI 핵심용어
Hybrid AI	하이브리드 AI	2025 AI 핵심용어
Hyperparameter	하이퍼파라미터	2025 AI 핵심용어
Inference-Based Reinforcement Learning	추론 기반 강화학습	2025 AI 핵심용어
Invisible Watermarking	비가시적 워터마킹	2025 AI 핵심용어
Jailbreak	탈옥	2025 AI 핵심용어
Knowledge Distillation	지식 증류	2025 AI 핵심용어
Large Action Model	거대 행동모델	2025 AI 핵심용어
Large Language Model	거대 언어모델	2025 AI 핵심용어
Low Code	로우 코드	2025 AI 핵심용어
Low-Rank Adaptation	저랭크 적응	2025 AI 핵심용어
Machine Learning	머신러닝	2025 AI 핵심용어
Machine Learning Operations	머신러닝 운영	2025 AI 핵심용어
Meta Learning	메타 러닝	2025 AI 핵심용어
Metadata	메타 데이터	2025 AI 핵심용어
Mixture of Experts	전문가 조합	2025 AI 핵심용어
Model Compression	모델 압축	2025 AI 핵심용어
Model Context Protocol	모델 컨텍스트 프로토콜	2025 AI 핵심용어
Multi-Agent System	다중 에이전트 시스템	2025 AI 핵심용어
Multimodal	멀티모달	2025 AI 핵심용어
Multimodal Large Language Model	멀티모달 거대 언어모델	2025 AI 핵심용어
Natural Language Processing	자연어 처리	2025 AI 핵심용어
Neural Processing Unit	신경망처리장치	2025 AI 핵심용어
Neuromorphic Chip	뉴로모픽 칩	2025 AI 핵심용어
Neuromorphic Computing	뉴로모픽 컴퓨팅	2025 AI 핵심용어
No Code	노 코드	2025 AI 핵심용어
On-Device AI	온디바이스 AI	2025 AI 핵심용어
Open-Source AI	오픈소스 AI	2025 AI 핵심용어
Optical Character Recognition	광학 문자 인식	2025 AI 핵심용어
Overfitting	과적합	2025 AI 핵심용어
Physical AI	피지컬 AI	2025 AI 핵심용어
Post-training Techniques	사후 훈련 기법	2025 AI 핵심용어
Precision	정밀도	2025 AI 핵심용어
Pretrained Model	사전학습모델	2025 AI 핵심용어
Processing In Memory	메모리 연산	2025 AI 핵심용어
Prompt Injection	프롬프트 인젝션	2025 AI 핵심용어
Quantization	양자화	2025 AI 핵심용어
Reasoning Models	추론 모델	2025 AI 핵심용어
Recall	재현율	2025 AI 핵심용어
Recurrent Neural Network	순환 신경망	2025 AI 핵심용어
Reinforcement Learning	강화학습	2025 AI 핵심용어
Reinforcement Learning from AI Feedback	AI 피드백 기반 강화학습	2025 AI 핵심용어
Reinforcement Learning from Human Feedback	인간 피드백 기반 강화학습	2025 AI 핵심용어
Retrieval-Augmented Generation	검색증강생성	2025 AI 핵심용어
Self-Supervised Learning	자기지도학습	2025 AI 핵심용어
Shadow AI	섀도 AI	2025 AI 핵심용어
Simulation-to-Reality Transfer	시뮬레이션-현실 전이	2025 AI 핵심용어
Small Language Model	경량화언어모델	2025 AI 핵심용어
Sovereign AI	AI 기술 주권	2025 AI 핵심용어
Sparse Attention	희소 어텐션	2025 AI 핵심용어
Spatial Intelligence	공간지능	2025 AI 핵심용어
Stress Tests	스트레스 테스트	2025 AI 핵심용어
Supervised Learning	지도학습	2025 AI 핵심용어
Symbolic AI	기호주의 AI	2025 AI 핵심용어
Synthetic Data	합성데이터	2025 AI 핵심용어
Technological Singularity	기술적 특이점	2025 AI 핵심용어
Tensor Processing Unit	텐서처리장치	2025 AI 핵심용어
Test-Time Augmentation	TTA	2025 AI 핵심용어
Test-Time Compute	추론-시점 연산량	2025 AI 핵심용어
Test-Time Scaling	TTS	2025 AI 핵심용어
Token	토큰	2025 AI 핵심용어
Transformer Architecture	트랜스포머 아키텍처	2025 AI 핵심용어
Turing Test	튜링 테스트	2025 AI 핵심용어
Unsupervised Learning	비지도학습	2025 AI 핵심용어
Up-sampling	업샘플링	2025 AI 핵심용어
User Interface (UI) Manipulation Agent	사용자 인터페이스 제어형 에이전트	2025 AI 핵심용어
Vertical AI	버티컬 AI	2025 AI 핵심용어
Vibe Coding	바이브 코딩	2025 AI 핵심용어
Visible Watermarking	가시적 워터마킹	2025 AI 핵심용어
Vision-Language Model	비전언어모델	2025 AI 핵심용어
World Model	월드 모델	2025 AI 핵심용어
Zero-shot learning	제로샷 러닝	2025 AI 핵심용어
Post-Quantum Cryptography	양자내성암호	TTA 정보통신용어사전
Quantum Key Distribution	양자 키 분배	TTA 정보통신용어사전
Q-Day	Q-Day	TTA 정보통신용어사전
5G-Advanced	5G-어드밴스드	ICT 시사용어 2025
ABTN: Annual Best Tariff Notification	최적 요금제 고지 의무 제도	ICT 시사용어 2025
AI-RAN	인공지능 무선접속망	ICT 시사용어 2025
Ameca	아메카	ICT 시사용어 2025
Anchor Frequency	앵커 주파수	ICT 시사용어 2025
Apple Intelligence	애플 인텔리전스	ICT 시사용어 2025
Artificial Intelligence Digital Textbook	AI 디지털 교과서	ICT 시사용어 2025
Atlas	아틀라스	ICT 시사용어 2025
Blackwell	블랙웰	ICT 시사용어 2025
C-ITS: Cooperative-Intelligent Transport Systems	차세대 협력·지능형 교통 체계	ICT 시사용어 2025
Charter of Digital Rights	디지털 권리 장전	ICT 시사용어 2025
ChatGPT	챗GPT	ICT 시사용어 2025
cloud native security	클라우드 네이티브 보안	ICT 시사용어 2025
Cloud Security Assurance Program	클라우드 서비스 보안 인증	ICT 시사용어 2025
Committee on Digital Economy Policy	디지털경제정책위원회	ICT 시사용어 2025
Culture Technology	문화기술	ICT 시사용어 2025
Cyber Talpiot	사이버 탈피오트	ICT 시사용어 2025
D2D: direct to device	위성-스마트폰 직접 통신	ICT 시사용어 2025
data colonialism	데이터 식민주의	ICT 시사용어 2025
dBrain+	차세대 디지털 예산 회계 시스템	ICT 시사용어 2025
DDoS attack	분산형 서비스 거부 공격	ICT 시사용어 2025
Desktop as a Service	서비스형 데스크톱	ICT 시사용어 2025
Digital Millennium Copyright Act	디지털 밀레니엄 저작권법	ICT 시사용어 2025
Digital Network Act	디지털 네트워크법	ICT 시사용어 2025
Digital Platform Government hub	디지털 플랫폼 정부 허브	ICT 시사용어 2025
DNA: Digital Network Act	디지털 네트워크법	ICT 시사용어 2025
eSports World Cup	e스포츠 월드컵	ICT 시사용어 2025
Fast Movie	패스트무비	ICT 시사용어 2025
GCOT: Global Coalition on Telecommunications	글로벌 통신 연합	ICT 시사용어 2025
Gemini	제미나이	ICT 시사용어 2025
Gemma	젬마	ICT 시사용어 2025
GIA: Gigabit Infrastructure Act	기가비트 인프라 법	ICT 시사용어 2025
Global Maritime Distress And Safety System	해상 조난 안전 시스템	ICT 시사용어 2025
GPT Store	GPT 스토어	ICT 시사용어 2025
HBM: High-Bandwidth Memory	고대역폭 메모리	ICT 시사용어 2025
Horizon Europe	호라이즌 유럽	ICT 시사용어 2025
IEEE Milestone	IEEE 마일스톤	ICT 시사용어 2025
Infrastructure for Resilience, Interconnection & Security by Satellite Project	IRIS2 프로젝트	ICT 시사용어 2025
LLM: Large Language Model	대규모 언어모델	ICT 시사용어 2025
Managed Service Provider	클라우드 관리 서비스 공급사	ICT 시사용어 2025
MMORPG: Massively Multiplayer Online Role-Playing Game	대규모 다중 접속 온라인 역할 게임	ICT 시사용어 2025
Mobile ID	모바일 신분증	ICT 시사용어 2025
MSP: Managed Service Provider	클라우드 관리 서비스 공급사	ICT 시사용어 2025
Network Slicing	네트워크 슬라이싱	ICT 시사용어 2025
OTT: Over-The-Top	온라인 동영상 서비스 자체 등급 분류 제도	ICT 시사용어 2025
Platform Beyond Vehicle	목적 기반 차량	ICT 시사용어 2025
PlugFest	플러그페스트	ICT 시사용어 2025
Processing-In-Memory Semiconductor	PIM 반도체	ICT 시사용어 2025
Project Kuiper	카이퍼 프로젝트	ICT 시사용어 2025
QKD: Quantum Key Distribution	양자 암호키 분배	ICT 시사용어 2025
QuINSA: Quantum INdustrial Standard Association	퀸사	ICT 시사용어 2025
RAG: Retrieval-Augmented Generation	검색 증강 생성	ICT 시사용어 2025
RF playground	전파 플레이그라운드	ICT 시사용어 2025
sLLM: smaller Large Language Model	경량화 언어 모델	ICT 시사용어 2025
smart village	스마트 빌리지	ICT 시사용어 2025
Software Bill of Materials	소프트웨어 구성 명세서	ICT 시사용어 2025
Software Defined Vehicle	소프트웨어 정의 차량	ICT 시사용어 2025
Sora	소라	ICT 시사용어 2025
sovereign cloud	소버린 클라우드	ICT 시사용어 2025
spatial computing	공간 컴퓨팅	ICT 시사용어 2025
streamflation	스트림플레이션	ICT 시사용어 2025
super App	슈퍼 앱	ICT 시사용어 2025
superconductor	초전도체	ICT 시사용어 2025
Synthetic Aperture Radar Satellite	합성 개구 레이다 위성	ICT 시사용어 2025
Telco Customer Banking	텔코CB	ICT 시사용어 2025
Third-party Cookie	제3자 쿠키	ICT 시사용어 2025
TM Forum	TM 포럼	ICT 시사용어 2025
UWB: Ultra-WideBand	초광대역 기술	ICT 시사용어 2025
Version Number	판호	ICT 시사용어 2025
Voice over NR	VoNR	ICT 시사용어 2025
Web 3.0	웹 3.0	ICT 시사용어 2025
World Radiocommunication Conference	세계 전파 통신 회의	ICT 시사용어 2025
ZKP: Zero-Knowledge Proof	영지식 증명	ICT 시사용어 2025
